address,city,state,zip_code,property_type,lot_size_sqft,sold_date,sale_price($),lot_size_acres,latitude,longitude,price_per_acre,cluster,cluster_label,cluster_optimal,cluster_label_optimal,sold_month,sold_year,cluster_final,cluster_label_final,geo_cluster,neighborhood_name,area_cluster,area_name,manual_cluster,final_area_name,sold_quarter,sold_month_num
4631 Lake Oconee Pkwy,Greensboro,GA,30642,Land,1446192,2025-05-19,1200000,33.2,33.49433534,-83.2228974,36144.57831325301,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,-1,,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q2,5
1091 Tallesse Trl,Greensboro,GA,30642,Land,31799,2025-04-04,220000,0.73,33.41913309,-83.23120711,301369.86301369866,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,4
1160 Montgomery Dr,Greensboro,GA,30642,Land,31363,2024-12-10,1800000,0.72,33.46562233,-83.23175547,2500000.0,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2024-12,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,12
1191 Sunset Overlook,Greensboro,GA,30642,Land,98010,2025-02-14,500000,2.25,33.45728514,-83.2545403,222222.22222222222,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-02,2025,1,Mainstream Premium - Standard Lots,-1,,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q1,2
2851 Caboose Ct,Greensboro,GA,30642,Land,30056,2024-11-01,24000,0.69,33.5397714,-83.26374911,34782.608695652176,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,7,West Greensboro Affordable Area,7,West Greensboro Affordable Neighborhood,6,West Greensboro Affordable Neighborhood,2024Q4,11
1800 Osprey Poynte,Greensboro,GA,30642,Land,57063,2024-12-13,85000,1.31,33.47197335,-83.20946336,64885.4961832061,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,12
1050 Pearls Ct,Greensboro,GA,30642,Land,53143,2024-10-18,400000,1.22,33.43187077,-83.2115059,327868.8524590164,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,-1,,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,10
0 Lake Oconee Pkwy,Greensboro,GA,30642,Land,174240,2025-01-27,1395000,4.0,33.5146905,-83.225773,348750.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-01,2025,1,Mainstream Premium - Standard Lots,-1,,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,1
1740 Cato Rd,Greensboro,GA,30642,Land,307969,2025-01-28,110000,7.07,33.5790578,-83.0860766,15558.698727015559,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q1,1
1021 Winged Foot Dr,Greensboro,GA,30642,Land,26571,2024-10-04,95000,0.61,33.47708129,-83.20071861,155737.7049180328,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,10
1170 Grove Ridge Vw,Greensboro,GA,30642,Land,59242,2024-12-05,375000,1.36,33.473562,-83.266369,275735.29411764705,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2024Q4,12
1011 Sunset Dr,Greensboro,GA,30642,Land,54886,2025-02-13,89000,1.26,33.4967599,-83.2736003,70634.92063492064,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-02,2025,1,Mainstream Premium - Standard Lots,8,South West Greensboro Mid-Range Area,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q1,2
77,Greensboro,GA,30642,Land,10890,2025-04-25,10000,0.25,33.560655,-83.193389,40000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-04,2025,0,Mainstream Economy - Large Lots,-1,,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q2,4
1241 E Broad St,Greensboro,GA,30642,Land,82328,2025-08-15,265000,1.89,33.57724876,-83.17258128,140211.64021164022,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-08,2025,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q3,8
Lake Oconee Pkwy,Greensboro,GA,30642,Land,984892,2025-02-03,655690,22.61,33.5146905,-83.225773,29000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-02,2025,1,Mainstream Premium - Standard Lots,-1,,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,2
1101 Meadow Crest Rd,Greensboro,GA,30642,Land,87120,2025-05-23,70000,2.0,33.54377485,-83.20705038,35000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,5,West Greensboro Mid-Range Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q2,5
1250 Glen Eagle Dr,Greensboro,GA,30642,Land,22651,2025-02-06,107000,0.52,33.46827736,-83.2057343,205769.23076923075,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-02,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,2
1420 Oconee Heights Dr,Greensboro,GA,30642,Land,65340,2025-05-05,155000,1.5,33.49002296,-83.27181258,103333.33333333333,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,8,South West Greensboro Mid-Range Area,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q2,5
2160 Armors Frd,Greensboro,GA,30642,Land,26572,2025-08-18,725000,0.61,33.45196077,-83.2156834,1188524.5901639345,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q3,8
1100 Shadow Creek Way,Greensboro,GA,30642,Land,26571,2025-03-07,105000,0.61,33.47644719,-83.19153919,172131.1475409836,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,3
1020 Shadow Creek Way,Greensboro,GA,30642,Land,81457,2025-03-10,130000,1.87,33.47830147,-83.19263705,69518.71657754011,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,3
1241 Swift Crk,Greensboro,GA,30642,Land,30056,2025-04-03,125000,0.69,33.45130729,-83.20646198,181159.42028985507,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,4
1951 Armour Bridge Rd,Greensboro,GA,30642,Land,146361,2025-06-10,190000,3.36,33.44973504,-83.18939418,56547.61904761905,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-06,2025,1,Mainstream Premium - Standard Lots,-1,,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q2,6
2150 Armors Frd,Greensboro,GA,30642,Land,29185,2025-04-17,675000,0.67,33.45180734,-83.21598743,1007462.6865671641,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,4
1470 Bramlett Rd,Greensboro,GA,30642,Land,334976,2025-02-21,114000,7.69,33.58298585,-83.09593407,14824.44733420026,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-02,2025,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q1,2
1042 Pond Crest Ln,Greensboro,GA,30642,Land,36155,2025-04-28,775000,0.83,33.46675314,-83.26415059,933734.9397590362,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q2,4
Lanier Rd,White Plains,GA,30678,Land,1014512,2025-08-25,160000,23.29,33.437069,-83.136348,6869.901245169601,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-08,2025,0,Mainstream Economy - Large Lots,-1,,6,South East Greensboro Affordable Neighborhood,0,White Plains Affordable Area,2025Q3,8
1000 Eastridge Loop,Greensboro,GA,30642,Land,50530,2024-11-25,427500,1.16,33.4017708,-83.1977442,368534.4827586207,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2024Q4,11
1001 Elk River Ct,Greensboro,GA,30642,Land,57063,2025-02-21,170000,1.31,33.46791581,-83.19468536,129770.9923664122,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-02,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,2
1460 Hensley Rd,Greensboro,GA,30642,Land,1333807,2024-12-31,315000,30.62,33.626566,-83.1543378,10287.393860222077,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-12,2024,0,Mainstream Economy - Large Lots,-1,,5,North Greensboro Affordable Neighborhood,2,Central Greensboro Mid-Range District,2024Q4,12
Pine Grove Rd,Greensboro,GA,30642,Land,65340,2025-04-02,200000,1.5,33.430523,-83.226933,133333.33333333334,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,4
1131 Sunset Overlook,Greensboro,GA,30642,Land,35283,2024-12-30,37500,0.81,33.45707827,-83.25355954,46296.29629629629,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,-1,,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,12
LOT 5 Penfield Rd,Greensboro,GA,30642,Land,444312,2025-01-06,107100,10.2,33.6254558,-83.1675932,10500.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,-1,,5,North Greensboro Affordable Neighborhood,2,Central Greensboro Mid-Range District,2025Q1,1
1151 Capstone Dr,Greensboro,GA,30642,Land,145055,2024-09-26,2900000,3.33,33.560655,-83.193389,870870.8708708709,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2024-09,2024,1,Mainstream Premium - Standard Lots,-1,,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2024Q3,9
1544 Richland Pointe,Greensboro,GA,30642,Land,5227,2024-12-04,470000,0.12,33.4033771,-83.195263,3916666.666666667,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2024-12,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2024Q4,12
5212 Veazey Rd,Greensboro,GA,30642,Land,436036,2025-01-27,130000,10.01,33.4702191,-83.112341,12987.012987012988,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,6,South East Greensboro Affordable Area,6,South East Greensboro Affordable Neighborhood,7,South East Greensboro Affordable Area,2025Q1,1
Highway 77 N,Union Point,GA,30669,Land,308840,2025-01-31,110000,7.09,33.6190378,-83.0814282,15514.809590973202,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,1,Union Point Affordable Area,2025Q1,1
1700 Garners Fry,Greensboro,GA,30642,Land,32234,2025-08-18,135000,0.74,33.46723001,-83.26306808,182432.43243243243,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,8
1030 Akers Knl,Greensboro,GA,30642,Land,33541,2024-12-30,300000,0.77,33.44384225,-83.2176369,389610.3896103896,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,12
1112 Village Overlook,Greensboro,GA,30642,Land,6970,2025-08-08,325000,0.16,33.41186757,-83.22039189,2031250.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,8
1091 Terrell Cir,Greensboro,GA,30642,Land,49658,2025-01-24,1950000,1.14,33.41274526,-83.23827393,1710526.315789474,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-01,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q1,1
1310 Oconee Landing Dr,White Plains,GA,30678,Land,67082,2025-05-05,213442,1.54,33.39714584,-83.16846009,138598.7012987013,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,-1,,11,South Greensboro Mid-Range District,0,White Plains Affordable Area,2025Q2,5
2170 Armors Frd,Greensboro,GA,30642,Land,20473,2025-08-18,700000,0.47,33.4524245,-83.21530476,1489361.7021276597,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q3,8
15,Greensboro,GA,30642,Land,125453,2024-10-17,18000,2.88,33.5737537,-83.174764,6250.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-10,2024,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2024Q4,10
1040 Harris Crk,Greensboro,GA,30642,Land,33977,2024-10-28,440000,0.78,33.458097,-83.22514587,564102.5641025641,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,10
1201 Howells Grove Rd,Greensboro,GA,30642,Land,37897,2025-04-17,750000,0.87,33.4087961,-83.1923823,862068.9655172414,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2025Q2,4
1071 Montgomery Dr,Greensboro,GA,30642,Land,50530,2025-07-03,550000,1.16,33.46573894,-83.2333598,474137.9310344828,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q3,7
1711 SE Osprey Poynte SE,Greensboro,GA,30642,Land,33541,2025-03-07,67500,0.77,33.47212561,-83.20952067,87662.33766233765,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,3
1300 Lake Dr,Greensboro,GA,30642,Land,37897,2024-11-05,90000,0.87,33.47128591,-83.2121655,103448.27586206897,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,11
1011 Woodmont Ct,Greensboro,GA,30642,Land,9583,2025-03-27,315000,0.22,33.45841378,-83.23046012,1431818.1818181819,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q1,3
1250 Wesley Chapel Rd,Greensboro,GA,30642,Land,431680,2025-01-16,128830,9.91,33.56808098,-83.11468617,13000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,-1,,1,East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q1,1
1250 Turn Stone Dr,Greensboro,GA,30642,Land,132422,2025-05-19,2300000,3.04,33.470686,-83.201651,756578.947368421,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-05,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q2,5
2211 Osprey Poynte,Greensboro,GA,30642,Land,30492,2024-10-07,50000,0.7,33.4713423,-83.2101006,71428.57142857143,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,10
1051 Glen Eagle Dr,Greensboro,GA,30642,Land,33541,2024-10-25,90000,0.77,33.4701321,-83.2079927,116883.11688311688,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,10
1081 Sunset Dr,Greensboro,GA,30642,Land,40075,2025-07-01,1064000,0.92,33.4967599,-83.2736003,1156521.7391304348,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,8,South West Greensboro Mid-Range Area,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,7
